1714246667143 [{'asks': [['63268.5', '0.003'], ['63268.8', '2.000'], ['63268.9', '3.732'], ['63269.0', '3.032'], ['63269.6', '3.050']], 'bids': [['63263.4', '7.154'], ['63263.3', '3.019'], ['63262.5', '0.553'], ['63262.4', '3.037'], ['63261.9', '3.021']], 'checksum': 0, 'ts': '1714246666077'}]
1714246667180 [{'asks': [['63263.5', '2.620'], ['63268.5', '0.003'], ['63268.7', '0.600'], ['63268.8', '4.055'], ['63268.9', '10.049']], 'bids': [['63263.3', '3.052'], ['63262.5', '0.553'], ['63262.4', '3.043'], ['63261.9', '3.038'], ['63261.6', '3.059']], 'checksum': 0, 'ts': '1714246666101'}]
1714246667259 [{'asks': [['63263.4', '1.000'], ['63263.5', '2.620'], ['63268.7', '2.000'], ['63268.8', '3.981'], ['63268.9', '9.860']], 'bids': [['63263.3', '3.051'], ['63262.5', '0.553'], ['63262.4', '3.012'], ['63261.9', '3.041'], ['63261.6', '3.014']], 'checksum': 0, 'ts': '1714246666193'}]
1714246667392 [{'asks': [['63263.4', '1.003'], ['63263.5', '2.620'], ['63268.6', '2.000'], ['63268.8', '4.123'], ['63268.9', '9.860']], 'bids': [['63263.3', '3.021'], ['63262.5', '0.645'], ['63262.4', '3.024'], ['63261.9', '3.022'], ['63261.6', '3.020']], 'checksum': 0, 'ts': '1714246666314'}]
1714246667496 [{'asks': [['63263.4', '1.003'], ['63263.5', '2.620'], ['63268.5', '2.000'], ['63268.8', '4.123'], ['63268.9', '9.827']], 'bids': [['63263.3', '3.021'], ['63262.5', '0.645'], ['63262.4', '3.024'], ['63261.9', '3.028'], ['63261.6', '3.031']], 'checksum': 0, 'ts': '1714246666426'}]
1714246667592 [{'asks': [['63263.4', '1.003'], ['63263.5', '2.620'], ['63268.4', '2.000'], ['63268.8', '4.123'], ['63268.9', '9.827']], 'bids': [['63263.3', '3.014'], ['63262.5', '0.614'], ['63262.4', '3.046'], ['63261.9', '3.017'], ['63261.6', '3.055']], 'checksum': 0, 'ts': '1714246666525'}]
1714246667719 [{'asks': [['63268.3', '2.000'], ['63268.8', '4.137'], ['63268.9', '9.827'], ['63269.0', '3.013'], ['63269.2', '3.010']], 'bids': [['63263.3', '3.037'], ['63262.5', '0.553'], ['63262.4', '3.046'], ['63261.9', '3.034'], ['63261.6', '3.044']], 'checksum': 0, 'ts': '1714246666641'}]
1714246667800 [{'asks': [['63268.7', '2.000'], ['63268.8', '3.044'], ['63268.9', '7.322'], ['63269.0', '3.013'], ['63269.2', '3.050']], 'bids': [['63263.3', '4.924'], ['63262.7', '3.010'], ['63262.6', '3.021'], ['63262.5', '0.553'], ['63262.4', '3.046']], 'checksum': 0, 'ts': '1714246666731'}]
1714246667913 [{'asks': [['63268.6', '0.003'], ['63268.7', '2.000'], ['63268.8', '3.054'], ['63268.9', '6.490'], ['63269.0', '3.058']], 'bids': [['63263.3', '4.924'], ['63262.7', '3.768'], ['63262.6', '3.817'], ['63262.5', '3.110'], ['63262.4', '3.046']], 'checksum': 0, 'ts': '1714246666838'}]
1714246668094 [{'asks': [['63268.6', '0.003'], ['63268.7', '2.000'], ['63268.8', '3.023'], ['63268.9', '6.377'], ['63269.0', '3.058']], 'bids': [['63263.3', '4.541'], ['63262.7', '3.054'], ['63262.6', '3.042'], ['63262.5', '0.553'], ['63262.4', '3.033']], 'checksum': 0, 'ts': '1714246666961'}]
1714246668129 [{'asks': [['63268.6', '0.003'], ['63268.7', '2.000'], ['63268.8', '3.046'], ['63268.9', '6.377'], ['63269.0', '3.017']], 'bids': [['63263.3', '3.758'], ['63262.7', '3.024'], ['63262.5', '0.553'], ['63262.4', '3.026'], ['63261.9', '3.013']], 'checksum': 0, 'ts': '1714246667053'}]
